ID,Transect,Week,Plot,ug.g,Sampled
N-I-1,N,I,1,0.071209308,29/03/2016
N-I-2,N,I,2,4.710027477,29/03/2016
N-I-3,N,I,3,1.486026247,29/03/2016
N-I-4,N,I,4,0.023645114,29/03/2016
N-I-5,N,I,5,0.158613678,29/03/2016
N-I-7,N,I,7,0.025117074,29/03/2016
N-I-8,N,I,8,0.019431835,29/03/2016
N-II-3,N,II,3,0.071909544,17/05/2016
N-II-4,N,II,4,19.65574111,14/04/2016
N-II-5,N,II,5,0.039049584,17/05/2016
N-II-7,N,II,7,10.47425727,14/04/2016
N-II-8,N,II,8,26.4365452,14/04/2016
N-III-2,N,III,2,4.781826711,12/05/2016
N-III-3,N,III,3,,
N-III-4,N,III,4,,31/05/2016
N-III-5,N,III,5,,
N-III-7,N,III,7,1.893997005,31/05/2016
N-III-8,N,III,8,1.613332229,31/05/2016
N-IV-1,N,IV,1,4.289448803,12/07/2016
N-IV-2,N,IV,2,0.776232651,28/06/2016
N-IV-3,N,IV,3,0.057082362,12/07/2016
N-IV-4,N,IV,4,0.545152531,12/07/2016
N-IV-5,N,IV,5,0.045620656,12/07/2016
N-IV-7,N,IV,7,,12/07/2016
N-IV-8,N,IV,8,0.317081154,12/07/2016
T-I-4,T,I,4,0.0246543,29/03/2016
T-I-5,T,I,5,0.139558594,29/03/2016
T-I-7,T,I,7,0.046291901,29/03/2016
T-I-8,T,I,8,0.053678805,29/03/2016
T-I-9,T,I,9,5.287558926,29/03/2016
T-I-10,T,I,10,0.048247509,29/03/2016
T-II-4,T,II,4,12.68935298,14/04/2016
T-II-5,T,II,5,0.046159807,17/05/2016
T-II-7,T,II,7,8.954796288,14/04/2016
T-II-8,T,II,8,9.554011392,14/04/2016
T-X-9,T,X,9,0.840532596,21/06/2016
T-X-10,T,X,10,1.493314056,21/06/2016
T-III-4,T,III,4,2.183089939,31/05/2016
T-III-5,T,III,5,0.11837547,14/06/2016
T-III-7,T,III,7,3.322353482,31/05/2016
T-III-8,T,III,8,1.300257353,31/05/2016
T-III-9,T,III,9,4.285899739,12/05/2016
T-IV-4,T,IV,4,0.48011717,12/07/2016
T-IV-5,T,IV,5,0.02604635,12/07/2016
T-IV-7,T,IV,7,0.54545091,12/07/2016
T-IV-8,T,IV,8,0.624808606,12/07/2016
T-IV-9,T,IV,9,0.25929538,28/06/2016
T-IV-10,T,IV,10,2.490105335,12/07/2016
S-I-11,S,I,11,4.96452968,30/03/2016
S-I-12,S,I,12,6.173382176,30/03/2016
S-I-13,S,I,13,0.076020979,30/03/2016
S-II-13,S,II,13,11.61982789,14/04/2016
S-III-11,S,III,11,0.801897339,12/05/2016
S-III-12,S,III,12,1.627753181,31/05/2016
S-III-13,S,III,13,7.350583133,31/05/2016
S-IV-11,S,IV,11,0.239439105,28/06/2016
S-IV-12,S,IV,12,0.641584575,12/07/2016
S-IV-13,S,IV,13,0.869203504,12/07/2016
