ID,Transect,Week,Plot,d13C
S-I-11,S,I,11,-30.892
S-I-11,S,I,11,-31.431
S-I-11,S,I,11,-31.129
S-I-13,S,I,13,
S-I-13,S,I,13,
S-I-13,S,I,13,
S-I-13,S,I,13,
S-I-13,S,I,13,
S-I-12,S,I,12,-31.79
S-I-12,S,I,12,-31.573
S-I-12,S,I,12,-31.387
S-I-9,S,I,9,
S-I-9,S,I,9,
S-I-9,S,I,9,
N-I-2,N,I,2,
N-I-2,N,I,2,-30.552
N-I-2,N,I,2,-30.67
N-I-8,N,I,8,
N-I-8,N,I,8,-25.623
N-I-8,N,I,8,
N-I-8,N,I,8,-27.49
N-I-8,N,I,8,
N-I-8,N,I,8,-26.955
N-I-7,N,I,7,
N-I-7,N,I,7,
N-I-7,N,I,7,
N-I-5,N,I,5,
N-I-5,N,I,5,
N-I-5,N,I,5,
N-I-3,N,I,3,-30.754
N-I-3,N,I,3,-31.276
N-I-3,N,I,3,-31.674
N-I-2,N,I,2,
N-I-2,N,I,2,-30.615
N-I-2,N,I,2,-30.818
N-I-1,N,I,1,-28.092
N-I-1,N,I,1,
N-I-1,N,I,1,-28.027
N-I-4,N,I,4,-31.685
N-I-4,N,I,4,-31.58
N-I-4,N,I,4,-30.893
N-II-3,N,II,3,-26.996
N-II-3,N,II,3,-27.644
N-II-3,N,II,3,
N-II-4,N,II,4,-29.886
N-II-4,N,II,4,-30.209
N-II-4,N,II,4,-30.448
N-II-5,N,II,5,
N-II-5,N,II,5,
N-II-5,N,II,5,
N-II-7,N,II,7,-30.853
N-II-7,N,II,7,-30.898
N-II-7,N,II,7,-30.787
N-II-8,N,II,8,-31.231
N-II-8,N,II,8,-31.143
N-II-8,N,II,8,-30.508
N-III-7,N,III,7,-28.615
N-III-7,N,III,7,-28.976
N-III-8,N,III,8,-28.78
N-III-8,N,III,8,-28.93
S-II-13,S,II,13,-31.492
S-II-13,S,II,13,-31.392
S-III-12,S,III,12,-29.586
S-III-12,S,III,12,-29.091
S-III-13,S,III,13,-29.366
S-III-13,S,III,13,-28.897
S-III-13,S,III,13,-28.72
T-I-8,T,I,8,-25.795
T-I-8,T,I,8,
T-I-8,T,I,8,
T-I-7,T,I,7,
T-I-7,T,I,7,
T-I-7,T,I,7,-27.007
T-I-5,T,I,5,-30.668
T-I-5,T,I,5,-31.35
T-I-5,T,I,5,-30.333
T-I-10,T,I,10,
T-I-10,T,I,10,
T-I-10,T,I,10,
T-I-4,T,I,4,
T-I-4,T,I,4,
T-I-4,T,I,4,
T-I-4,T,I,4,
T-I-4,T,I,4,
T-I-4,T,I,4,
T-I-4,T,I,4,
T-I-4,T,I,4,
T-I-9,T,I,9,-30.76
T-I-9,T,I,9,-31.396
T-I-9,T,I,9,
T-I-9,T,I,9,-30.846
T-I-9,T,I,9,-30.899
T-I-9,T,I,9,-31.197
T-II-4,T,II,4,
T-II-4,T,II,4,
T-II-4,T,II,4,-31.865
T-II-4,T,II,4,
T-II-4,T,II,4,-32.622
T-II-4,T,II,4,-31.428
T-II-5,T,II,5,-29.654
T-II-5,T,II,5,-26.983
T-II-5,T,II,5,-29.426
T-II-7,T,II,7,-31.383
T-II-7,T,II,7,-31.824
T-II-7,T,II,7,-31.543
T-II-8,T,II,8,-30.851
T-II-8,T,II,8,-30.125
T-II-8,T,II,8,-31.409
T-III-4,T,III,4,-28.371
T-III-4,T,III,4,-27.831
T-III-4,T,III,4,
T-III-5,T,III,5,
T-III-5,T,III,5,-27.106
T-III-5,T,III,5,
T-III-5,T,III,5,-26.922
T-III-5,T,III,5,-26.875
T-III-7,T,III,7,-27.712
T-III-7,T,III,7,-28.568
T-III-7,T,III,7,-28.379
T-III-9,T,III,9,-29.162
T-III-9,T,III,9,-27.318
T-X-10,T,X,10,-28.978
T-X-10,T,X,10,-28.771
T-X-10,T,X,10,
T-X-10,T,X,10,
T-X-10,T,X,10,-28.802
S-IV-13,S,IV,13,
S-IV-12,S,IV,12,
S-IV-12,S,IV,12,-28.347
T-X-10,T,X,10,
T-X-10,T,X,10,
T-X-10,T,X,10,
T-IV-8,T,IV,8,-24.036
T-IV-8,T,IV,8,-24.779
T-IV-8,T,IV,8,-25.673
T-IV-7,T,IV,7,-24.822
S-IV-13,S,IV,13,-28.703
S-IV-13,S,IV,13,
S-IV-13,S,IV,13,-28.127
S-IV-12,S,IV,12,-28.085
S-IV-12,S,IV,12,-28.347
S-IV-12,S,IV,12,
T-X-10,T,X,10,
T-X-10,T,X,10,
T-X-10,T,X,10,-28.119
T-IV-8,T,IV,8,
T-IV-8,T,IV,8,
T-IV-7,T,IV,7,-27.719
