Fosse;Depth.cm;W0;W100;W200
ALT_F1_1_;0-5;0.494307969;0.420511284;0.398542041
ALT_F1_2_;0-5;0.548532055;0.421809467;0.39794288
ALT_F1_3_;0-5;0.463051728;0.40822848;0.394447773
ALT_F1_1_;50-55;0.487717196;0.38276413;0.371479928
ALT_F1_2_;50-55;0.492710206;0.403335331;0.392450569
ALT_F1_3_;50-55;0.476932295;0.3981426;0.386359097
ALT_F1_1_;80-85;0.499101258;0.406430997;0.39285001
ALT_F1_2_;80-85;0.480527262;0.383163571;0.366686639
ALT_F1_3_;80-85;0.489414819;0.388156581;0.374375874
ALT_F1_1_;115-120;0.445176753;0.376572798;0.360894747
ALT_F1_2_;115-120;0.452067106;0.375574196;0.358697823
ALT_F1_3_;115-120;0.434591572;0.373676852;0.358797683
ALT_F1_1_;155-150;0.413920511;0.353005792;0.343818654
ALT_F1_2_;155-150;0.41302177;0.35210705;0.342919912
ALT_F1_3_;155-150;0.461553825;0.339924106;0.327940883
ALT_F2_1_;0-5;0.480427402;0.429498702;0.419612542
ALT_F2_2_;0-5;0.496205313;0.436988216;0.424805273
ALT_F2_3_;0-5;0.511983223;0.442780108;0.430397444
ALT_F2_1_;40-45;0.480227681;0.413521071;0.402137008
ALT_F2_2_;40-45;0.500798882;0.413820651;0.401837428
ALT_F2_3_;40-45;0.500699021;0.42350709;0.412422608
ALT_F2_1_;70-75;0.447773118;0.360095866;0.342520471
ALT_F2_2_;70-75;0.43389255;0.359496705;0.34172159
ALT_F2_3_;70-75;0.438186539;0.358398242;0.339225085
ALT_F2_1_;107-112;0.471539844;0.385560216;0.360794887
ALT_F2_2_;107-112;0.499400839;0.402037148;0.372178949
ALT_F2_3_;107-112;0.529059317;0.400838826;0.371579788
ALT_F3_1_;0-5;0.522867985;0.401937288;0.37767126
ALT_F3_2_;0-5;0.542740164;0.42840024;0.403435191
ALT_F3_3_;0-5;0.512083084;0.43349311;0.416616737
ALT_F3_1_;45-50;0.467345716;0.330637108;0.31625724
ALT_F3_2_;45-50;0.477431596;0.338526064;0.324745357
ALT_F3_3_;45-50;0.48492111;0.347713202;0.332634312
ALT_F3_1_;75-80;0.446474935;0.366087478;0.355602157
