landuse;crop_type;sow_yy;sow_mm;sow_dd;len_grow_stage_ini;len_dev_stage;len_mid_stage;len_end_stage;kcb_ini;kcb_mid;kcb_end;max_LAI;mu;max_height;max_root_depth;p_tab;theta_sat_z0z1;theta_fcap_z0z1;theta_sat_z2;theta_fcap_z2;theta_wp;k_sat_z0z1;k_sat_z2;CN2_A;CN2_B;CN2_C
-999;1;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0
1;1;2016.0;4.0;10.0;28.0;14.0;14.0;14.0;0.3;1.2;0.5;7.0;3.5;2.43;1.0;0.55;0.63;0.25;0.63;0.25;0.19;643.0;43.2;72.0;81.0;88.0
2;2;2015.0;10.0;15.0;160.0;75.0;75.0;25.0;0.7;1.15;0.25;6.3;1.5;0.79;1.4;0.55;0.63;0.25;0.63;0.25;0.19;643.0;43.2;72.0;81.0;88.0
5;5;2016.0;3.0;25.0;50.0;40.0;50.0;40.0;0.35;1.2;0.7;4.5;1.8;0.45;1.0;0.55;0.63;0.25;0.63;0.25;0.19;643.0;43.2;72.0;81.0;88.0
6;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.15;0.0;0.0;0.0;0.0;0.0;0.63;0.25;0.63;0.25;0.19;643.0;43.2;35.0;56.0;70.0
7;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.15;0.0;0.0;0.0;0.0;0.0;0.63;0.25;0.63;0.25;0.19;62.0;62.0;72.0;82.0;87.0
8;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.15;0.0;0.0;0.0;0.0;0.0;0.63;0.25;0.63;0.25;0.19;643.0;43.2;59.0;74.0;82.0
9;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.15;0.0;0.0;0.0;0.0;0.0;0.63;0.25;0.63;0.25;0.19;31.0;31.0;98.0;98.0;98.0
10;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.15;0.15;0.0;0.0;0.0;0.0;0.0;0.63;0.25;0.63;0.25;0.19;43.2;43.2;98.0;98.0;98.0
11;11;2015.0;8.0;1.0;0.0;0.0;0.0;0.0;0.3;0.7;0.7;7.0;1.0;0.2;0.2;0.55;0.63;0.25;0.63;0.25;0.19;643.0;43.2;30.0;58.0;71.0
13;13;2000.0;4.0;1.0;0.0;0.0;0.0;0.0;0.75;1.15;0.8;4.0;1.0;3.0;1.0;0.55;0.63;0.25;0.63;0.25;0.19;643.0;43.2;43.0;65.0;76.0
