Location;Depth.cm;p_b.g.cm3
Fosse 1;0-5;1.413620931
Fosse 1;0-5;1.261234272
Fosse 1;0-5;1.541441981
Fosse 1;50-55;1.495805872
Fosse 1;50-55;1.521070501
Fosse 1;50-55;1.527161973
Fosse 1;80-85;1.504793289
Fosse 1;80-85;1.522967845
Fosse 1;80-85;1.543738766
Fosse 1;115-120;1.59177152
Fosse 1;115-120;1.562113042
Fosse 1;115-120;1.563011784
Fosse 1;145-150;1.667265828
Fosse 1;145-150;1.669362892
Fosse 1;145-150;1.546235271
Fosse 2;0-5;1.485420411
Fosse 2;0-5;1.475134811
Fosse 2;0-5;1.438386259
Fosse 2;40-45;1.514879169
Fosse 2;40-45;1.4593569
Fosse 2;40-45;1.47982824
Fosse 2;70-75;1.600958658
Fosse 2;70-75;1.629318953
Fosse 2;70-75;1.573197523
Fosse 2;107-112;1.517175954
Fosse 2;107-112;1.47962852
Fosse 2;107-112;1.444877172
Fosse 3;0-5;1.282704214
Fosse 3;0-5;1.305572199
Fosse 3;0-5;1.381865388
Fosse 3;45-50;1.433193529
Fosse 3;45-50;1.492011184
Fosse 3;45-50;1.49001398
Fosse 3;75-80;1.524066307
Fosse 3;75-80;1.472738167
Fosse 3;75-80;1.482724186
Fosse 3;105-110;1.495506291
Fosse 3;105-110;1.488416217
Fosse 3;105-110;1.501697623
Fosse 3;134-139;1.592969842
Fosse 3;134-139;1.579988017
Fosse 3;134-139;1.578689834
Fosse 4;0-5;1.294787298
Fosse 4;0-5;1.324645496
Fosse 4;0-5;1.252646295
Fosse 4;41-46;1.501997204
Fosse 4;41-46;1.516277212
Fosse 4;41-46;1.537946874
Fosse 4;70-75;1.528959457
Fosse 4;70-75;1.640503295
Fosse 4;70-75;1.642500499
Fosse 4;120-125;1.546834432
Fosse 4;120-125;1.549630517
Fosse 4;120-125;1.576792491
Fosse 4;165-170;1.650988616
Fosse 4;165-170;1.641601758
Fosse 4;165-170;1.603854604
Fosse 5;0-5;1.39804274
Fosse 5;0-5;1.464749351
Fosse 5;0-5;1.415218694
Fosse 5;25-30;1.486618734
Fosse 5;25-30;1.542540443
Fosse 5;25-30;1.582983823
Fosse 5;35-40;1.51517875
Fosse 5;35-40;1.532953865
Fosse 5;35-40;1.503994408
Fosse 5;65-70;1.540243659
Fosse 5;65-70;1.553525065
Fosse 5;65-70;1.517974835
Fosse 5;120-125;1.53584981
Fosse 5;120-125;1.539644498
Fosse 5;120-125;1.566706611
Fosse 5;165-170;1.419512682
Fosse 5;165-170;1.443479129
Fosse 5;165-170;1.442580387
Fosse 6;0-5;1.343718794
Fosse 6;0-5;1.345116836
Fosse 6;0-5;1.301977232
Fosse 6;50-55;1.478030757
Fosse 6;50-55;1.459956062
Fosse 6;50-55;1.451268224
Fosse 6;95-100;1.455632115
Fosse 6;95-100;1.425803875
Fosse 6;95-100;1.480826842
Fosse 6;135-140;1.474693618
Fosse 6;135-140;1.475568996
Fosse 6;135-140;1.455276142
Fosse 6;155-160*;1.450669063
Fosse 6;155-160*;1.452566407
Fosse 6;155-160*;1.438186539
