-999	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	1	2016	5	1	28	14	14	14	0.3	1.2	0.5	7	3.5	2.43	1	0.55	0.61	0.2	0.61	0.2	0.1	43.2	43.2	82
2	2	2015	10	15	160	75	75	25	0.7	1.15	0.25	6.3	1.5	0.79	1.4	0.55	0.61	0.2	0.61	0.2	0.1	43.2	43.2	82
5	5	2016	3	25	50	40	50	40	0.35	1.2	0.7	4.5	1.8	0.55	1	0.55	0.61	0.2	0.61	0.2	0.1	43.2	43.2	82
6	6	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0	0.61	0.2	0.61	0.2	0.1	43.2	43.2	70
7	7	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0	0.61	0.2	0.61	0.2	0.1	43.2	43.2	87
8	8	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0	0.61	0.2	0.61	0.2	0.1	43.2	43.2	82
9	9	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0	0.61	0.2	0.61	0.2	0.1	43.2	43.2	98
10	10	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0	0.61	0.2	0.61	0.2	0.1	43.2	43.2	71
11	11	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0	0.61	0.2	0.61	0.2	0.1	43.2	43.2	71
13	13	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0	0	0	0	0.61	0.2	0.61	0.2	0.1	43.2	43.2	76
