-999	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
98	0	2009	0	0	1	1	150	1	0.9	0.95	0.95	0.2	0.35	0.1	0.2	0.4	0.4	0.22	0.4	0.22	0.11	85.7	76.77291667	81
99	0	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.22	0.4	0.22	0.11	31.9	28.57708333	81
1	2	2010	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.24	0.4	0.24	0.12	15.6	13.975	81
2	1	2009	3	1	10	20	270	100	0.8	0.85	0.85	1.5	0.35	0.2	0.25	0.5	0.4	0.24	0.4	0.24	0.12	36	32.25	79
3	2	2010	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.22	0.4	0.22	0.11	37.44	33.54	81
4	1	2009	3	1	10	20	270	100	0.8	0.85	0.85	1.5	0.35	0.2	0.25	0.5	0.4	0.22	0.4	0.22	0.11	96	86	79
5	2	2010	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.22	0.4	0.22	0.11	30	26.875	81
6	1	2009	3	1	10	20	270	100	0.8	0.85	0.85	1.5	0.35	0.2	0.25	0.5	0.4	0.22	0.4	0.22	0.11	72	64.5	79
7	2	2010	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.22	0.4	0.22	0.11	34.56	30.96	81
8	1	2009	3	1	10	20	270	100	0.8	0.85	0.85	1.5	0.35	0.2	0.25	0.5	0.4	0.22	0.4	0.22	0.11	48	43	79
9	2	2010	4	18	0	0	0	0	0	0	0	0	0	0	0	0.5	0.4	0.205	0.4	0.21	0.1	43.92	39.345	81
10	1	2009	3	1	10	20	270	100	0.8	0.85	0.85	1.5	0.35	0.2	0.25	0.5	0.4	0.205	0.4	0.21	0.1	96	86	79
11	2	2010	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.22	0.4	0.22	0.11	30	26.875	81
12	1	2009	3	1	10	20	270	100	0.8	0.85	0.85	1.5	0.35	0.2	0.25	0.5	0.4	0.22	0.4	0.22	0.11	72	64.5	79
13	4	2009	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.22	0.4	0.22	0.11	30	26.875	74
14	5	2009	3	1	10	20	270	100	0.8	0.85	0.85	1.5	0.35	0.2	0.25	0.5	0.4	0.22	0.4	0.22	0.11	48	43	79
15	6	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.2	0.4	0.2	0.09	4.8	4.3	82
16	3	2009	4	20	30	60	40	80	0.3	0.7	0.45	3.5	0.45	1.5	0.65	0.45	0.4	0.22	0.4	0.22	0.11	15.6	13.975	74
17	3	2009	4	20	30	60	40	80	0.3	0.7	0.45	3.5	0.45	1.5	0.65	0.45	0.4	0.22	0.4	0.22	0.11	37.44	33.54	74
18	3	2009	4	20	30	60	40	80	0.3	0.7	0.45	3.5	0.45	1.5	0.65	0.45	0.4	0.22	0.4	0.22	0.11	30	26.875	74
19	3	2009	4	20	30	60	40	80	0.3	0.7	0.45	3.5	0.45	1.5	0.65	0.45	0.4	0.22	0.4	0.22	0.11	34.56	30.96	74
20	3	2009	4	20	30	60	40	80	0.3	0.7	0.45	3.5	0.45	1.5	0.65	0.45	0.4	0.22	0.4	0.22	0.11	43.92	39.345	74
21	3	2009	4	20	30	60	40	80	0.3	0.7	0.45	3.5	0.45	1.5	0.65	0.45	0.4	0.22	0.4	0.22	0.11	30	26.875	74
22	0	2009	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0.4	0.22	0.4	0.22	0.11	48	43	85
